Uncategorized,Copy SHA-1,Ctrl+C,In Git Reflog View
Run/Debug,Coverage JUnit Test,"Alt+Shift+E, T",In Windows
Web Page Editor Layout,Graphical Designer,Ctrl+Shift+F11,Using Web Page Editor
View,Zoom In,Ctrl+=,In Windows
Run/Debug,Coverage JUnit Plug-in Test,"Alt+Shift+E, P",In Windows
Run/Debug,Debug Spring Boot App,"Alt+Shift+D, B",In Windows
Refactor - JavaScript,Rename - Refactoring ,Alt+Shift+R,JavaScript View
Edit,Incremental Find,Ctrl+J,Editing Text
Source,Add Block Comment,Ctrl+Shift+/,Editing Java Source
Run/Debug,Coverage Java Application,"Alt+Shift+E, J",In Windows
Edit,Select All,Ctrl+A,In Dialogs and Windows
Edit,Remove Block Comment,Ctrl+Shift+\,Editing in Structured Text Editors
Source,Quick Assist - Assign to local variable,"Ctrl+2, L",Editing Java Source
Run/Debug,Run Ant Build,"Alt+Shift+X, Q",In Windows
Run/Debug,Run AspectJ/Java Application,"Alt+Shift+X, C",In Windows
Run/Debug,Toggle Memory Monitors Pane,Ctrl+T,In Memory View
Run/Debug,Step Over,F6,Debugging
Window,Show Contributing Plug-in,Alt+Shift+F3,In Dialogs and Windows
Edit,Toggle Insert Mode,Ctrl+Shift+Insert,Editing Text
Web Page Editor Layout,Source Code,Ctrl+Shift+F12,Using Web Page Editor
Edit,Select Previous Element,Alt+Shift+Left,Editing Java Source
Run/Debug,Inspect,Ctrl+Shift+I,In Dialogs and Windows
Edit,Select Next Element,Alt+Shift+Right,Editing JavaScript Source
Source,Surround With Quick Menu,Alt+Shift+Z,In Windows
Navigate,Quick Outline,Ctrl+O,Editing JavaScript Source
Navigate,Open Type Hierarchy,F4,In Windows
ASA 9.x table schema editor,Cut,Alt+X,In Windows
File,Properties,Alt+Enter,In Windows
Run/Debug,Step Into Selection,Ctrl+F5,Debugging
SQL Results View,Terminate Result,Ctrl+Break,In Windows
Run/Debug,Run OSGi Framework,"Alt+Shift+X, O",In Windows
Edit,Paste,Ctrl+V,In Dialogs and Windows
SQL Results View,Remove All Visible Results,Shift+Delete,In Windows
Navigate,Beans Quick Outline,Ctrl+Shift+O,Editing in Structured Text Editors
Run/Debug,Run,Ctrl+F11,In Windows
Web Page Editor Layout,Horizontal Layout,Ctrl+Shift+F10,Using Web Page Editor
Navigate,Go to Matching Bracket,Ctrl+Shift+P,Editing Java Source
Views,Show View (Search),"Alt+Shift+Q, S",In Windows
Source,Format,Ctrl+Shift+F,Editing Java Source
Terminal view commands,Terminal view insert,Alt+V,Terminal Typing Connected
ASA 9.x table schema editor,Paste,Alt+V,In Windows
Navigate,&Quick Cross References,Alt+Shift+P,Editing Java Source
Text Editing,To Upper Case,Ctrl+Shift+X,Editing Text
Run/Debug,Go to Address,Ctrl+G,In Table Memory Rendering
Window,Maximize Active View or Editor,Ctrl+M,In Windows
Text Formatting,Underline,Ctrl+Shift+U,Formatting Text
File,New menu,Alt+Shift+N,In Windows
Edit,Restore Last Selection,Alt+Shift+Down,Editing JavaScript Source
Terminal Commands,Open Local Terminal on Selection,Ctrl+Alt+Shift+T,In Windows
Database Tools,Execute Selected Text As One Statement,Alt+C,Editing SQL
Search,Declaration in Workspace,Ctrl+G,In Windows
Window,Show View Menu,Ctrl+F10,In Dialogs and Windows
Source,Remove Block Comment,Ctrl+Shift+\,Editing Java Source
Run/Debug,Toggle Breakpoint,Ctrl+Shift+B,In Windows
Text Editing,Line Start,Home,Editing Text
Terminal view commands,Copy,Ctrl+Insert,Terminal Control in Focus
Run/Debug,Run Spring Boot App,"Alt+Shift+X, B",In Windows
Terminal Commands,Open Local Terminal on Selection,Ctrl+Alt+T,In Windows
Edit,Context Information,Alt+Shift+?,In Windows
Run/Debug,Run Eclipse Application,"Alt+Shift+X, E",In Windows
Navigate,Previous Page,Ctrl+Shift+F5,In Faces Config Editor
Edit,Restore Last Selection,Alt+Shift+Down,Editing Java Source
Edit,Select Previous Element,Alt+Shift+Left,Editing in Structured Text Editors
Refactor - JavaScript,Extract Local Variable,Alt+Shift+L,JavaScript View
Run/Debug,Next Memory Monitor,Ctrl+Alt+N,In Memory View
Source,Show Source Quick Menu,Alt+Shift+S,JavaScript View
Source,Toggle Mark Occurrences,Alt+Shift+O,Editing JavaScript Source
Terminal view commands,Terminal view insert,Alt+C,Terminal Typing Connected
Edit,Select Next Element,Alt+Shift+Right,Editing Java Source
Window,Next Perspective,Ctrl+F8,In Windows
Run/Debug,Coverage TestNG Test,"Alt+Shift+E, N",In Windows
Search,Show Occurrences in File Quick Menu,Ctrl+Shift+U,JavaScript View
File,Close,Ctrl+F4,In Windows
Source,Annotate Class File,Ctrl+1,Browsing attached Java Source
View,Zoom Out,Ctrl+-,In Windows
Navigate,Go to Line,Ctrl+L,Editing Text
Navigate,Previous Page,Alt+Shift+F7,In Windows
Refactor - Java,Extract Method,Alt+Shift+M,In Windows
Text Editing,Expand,Ctrl+Numpad_Add,Editing Text
Views,Show View (Type Hierarchy),"Alt+Shift+Q, T",In Windows
Edit,Select Enclosing Element,Alt+Shift+Up,Editing Java Source
Task Editor,Maximize Part,Ctrl+Shift+M,In Tasks Editor
Navigate,Collapse All,Ctrl+Shift+Numpad_Divide,In Windows
Edit,Copy,Ctrl+Insert,In Dialogs and Windows
Server,Publish,Ctrl+Alt+P,In Servers View
Navigate,Open Type,Ctrl+Shift+T,In Windows
Run/Debug,Run Java Application,"Alt+Shift+X, J",In Windows
Navigate,Quick Hierarchy,Ctrl+T,Editing Java Source
Run/Debug,Debug JUnit Plug-in Test,"Alt+Shift+D, P",In Windows
Navigate,Open Remote Task,Ctrl+Alt+Shift+F12,In Windows
Source,Rename In File,Alt+Shift+R,Editing Ant Buildfiles
Text Editing,Join Lines,Ctrl+Alt+J,Editing Text
Edit,Content Assist,Alt+/,In Dialogs and Windows
Spket Source,Toggle Comment,Ctrl+/,Editing Text
File,Save All,Ctrl+Shift+S,In Windows
Focused UI,Show Context Quick View,Ctrl+Alt+Shift+Right,In Windows
Task Repositories,Show Tooltip Description,F4,In Tasks View
Views,Show View (Synchronize),"Alt+Shift+Q, Y",In Windows
Run/Debug,EOF,Ctrl+Z,In I/O Console
Task Repositories,Mark Task Incomplete,Alt+Shift+I,In Tasks View
Edit,Select Previous Element,Alt+Shift+Left,Editing JavaScript Source
Edit,JavaScript Content Assist,Alt+Shift+/,In Dialogs and Windows
Window,Switch to Editor,Ctrl+Shift+E,In Windows
Refactor - JavaScript,Inline,Alt+Shift+I,JavaScript View
Project,Refresh Tasks,Ctrl+F5,In Windows
Refactor - Java,Move - Refactoring ,Alt+Shift+V,In Windows
Source,Quick Assist - Assign to local variable,"Ctrl+2, L",Editing JavaScript Source
Run/Debug,Next Page of Memory,Ctrl+Shift+.,In Table Memory Rendering
Run/Debug,Debug JUnit Test,"Alt+Shift+D, T",In Windows
Edit,Restore Last Selection,Alt+Shift+Down,Editing in Structured Text Editors
Server,Debug,Ctrl+Alt+D,In Servers View
File,Close All,Ctrl+Shift+F4,In Windows
YEdit,Toggle Comment,Ctrl+Shift+C,YEdit editor context
Terminal view commands,Terminal view insert,Alt+B,Terminal Typing Connected
Navigate,Open Attached Javadoc,Shift+F2,In Windows
Run/Debug,Run XSLT Transformation,"Alt+Shift+X, X",In Windows
Navigate,Matching Character,Ctrl+Shift+P,Editing in Structured Text Editors
Navigate,Quick Hierarchy,Ctrl+T,Editing JavaScript Source
Terminal view commands,Copy,Ctrl+Shift+C,Terminal Control in Focus
Text Editing,Select Line Start,Shift+Home,Editing Text
Views,JavaScript Declaration,"Alt+Shift+Q, D",JavaScript View
Source,Show Source Quick Menu,Alt+Shift+S,In Windows
Navigate,Open Call Hierarchy,Ctrl+Alt+H,JavaScript View
Navigate,Go to Previous Member,Ctrl+Shift+Up,Editing JavaScript Source
Navigate,Deactivate Task,Ctrl+Shift+F9,In Windows
Window,Next Editor,Ctrl+F6,In Windows
Source,Toggle Comment,Ctrl+/,Editing JavaScript Source
Edit,Format,Ctrl+Shift+F,Editing in Structured Text Editors
Git,Commit...,Ctrl+#,In Windows
Refactor - JavaScript,Change Function Signature,Alt+Shift+C,JavaScript View
Run/Debug,Debug on Server,"Alt+Shift+D, R",In Windows
Navigate,Show In...,Alt+Shift+W,In Windows
Views,Show View (Package Explorer),"Alt+Shift+Q, P",In Windows
Navigate,Open Spring Bean,Alt+Shift+B,In Windows
Navigate,Quick Outline,Ctrl+O,Editing Java Source
Run/Debug,All Instances,Ctrl+Shift+N,In Windows
Task Repositories,Open Selected Task,Ctrl+Enter,In Tasks View
Search,Declaration in Workspace,Ctrl+G,JavaScript View
Task Repositories,Mark Task Unread,Alt+Shift+U,In Tasks View
Navigate,Beans Quick Cross References,Alt+Shift+G,Editing Text
Edit,Toggle Word Wrap,Alt+Shift+Y,Editing Text
Window,Previous Perspective,Ctrl+Shift+F8,In Windows
Navigate,Open Structure,Ctrl+F3,Editing JavaScript Source
Edit,Toggle Comment,Ctrl+/,Editing SQL
Source,Toggle Ant Mark Occurrences,Alt+Shift+O,Editing Ant Buildfiles
Terminal view commands,Terminal view insert,Alt+Y,Terminal Typing Connected
Git,Paste Repository Path or URI,Ctrl+V,In Git Repositories View
Language Servers,Go to Symbol in File,Ctrl+O,Editing Text
Task Repositories,New Local Task,Insert,In Tasks View
Views,Show View (Cheat Sheets),"Alt+Shift+Q, H",In Windows
Navigate,Open Type in Hierarchy,Ctrl+Shift+H,JavaScript View
Source,Quick Assist - Assign to var,"Ctrl+2, F",Editing JavaScript Source
Terminal view commands,Quick Access,Alt+Right,Terminal Control in Focus
Spket Source,Quick Assist - Rename in file,"Ctrl+2, R",Editing Text
Source,Remove Occurrence Annotations,Alt+Shift+U,Editing Java Source
Text Editing,Text Start,Ctrl+Home,Editing Text
Edit,Select Enclosing Element,Alt+Shift+Up,Editing in Structured Text Editors
Run/Debug,Coverage Scala Application,"Alt+Shift+E, L",In Windows
Window,Activate Editor,F12,In Windows
Text Editing,Select Previous Word,Ctrl+Shift+Left,Editing Text
Edit,Next Sibling,Ctrl+Shift+Down,Editing in Structured Text Editors
Text Editing,Expand All,Ctrl+Numpad_Multiply,Editing Text
Source,Toggle Comment,Ctrl+/,Editing Java Source
Text Editing,Invert Case,Ctrl+Alt+I,Editing Text
Text Editing,Scroll Line Down,Ctrl+Down,Editing Text
Refactor - Java,Extract Local Variable,Alt+Shift+L,In Windows
Navigate,Previous,"Ctrl+,",In Windows
Run/Debug,Run Java Applet,"Alt+Shift+X, A",In Windows
Navigate,Next Page,Alt+F7,In Windows
Navigate,Quick Outline,Ctrl+O,Editing in Structured Text Editors
Refactor - JavaScript,Extract Function,Alt+Shift+M,JavaScript View
Window,Quick Switch Editor,Ctrl+E,In Windows
Source,Toggle Comment,Ctrl+7,Editing JavaScript Source
Text Editing,Select Line End,Shift+End,Editing Text
Source,Quick Assist - Assign to field,"Ctrl+2, F",Editing Java Source
File,Rename,F2,In Windows
Source,Surround With Quick Menu,Alt+Shift+Z,JavaScript View
Run/Debug,Close Rendering,Ctrl+W,In Memory View
Database Tools,Execute Selected Text,Alt+X,Editing SQL
Run/Debug,Previous Page of Memory,"Ctrl+Shift+,",In Table Memory Rendering
Spy,Plug-in Selection Spy,Alt+Shift+F1,In Dialogs and Windows
Window,Next View,Ctrl+F7,In Windows
Server,Stop,Ctrl+Alt+S,In Servers View
Navigate,Go To Previous Unread Task,Alt+Up,In Tasks View
Source,Add JSDoc Comment,Alt+Shift+J,JavaScript View
Source,Quick Assist - Rename in file,"Ctrl+2, R",Editing Java Source
Task Repositories,Mark Task Read,Alt+Shift+R,In Tasks Editor
Source,Open External Documentation,Shift+F2,Editing Ant Buildfiles
Edit,Show Tooltip,F2,Editing Text
Edit,Open Selection,F3,Editing in Structured Text Editors
Views,Show View (Variables),"Alt+Shift+Q, V",In Windows
Navigate,Open Type,Ctrl+Shift+T,Editing JavaScript Source
Run/Debug,Debug OSGi Framework,"Alt+Shift+D, O",In Windows
Edit,Copy,Ctrl+C,In Dialogs and Windows
Source,Toggle Comment,Ctrl+Shift+C,Editing JavaScript Source
Terminal view commands,Terminal view insert,Alt+E,Terminal Typing Connected
Views,Show View (Console),"Alt+Shift+Q, C",In Windows
Uncategorized,Find References,Ctrl+Shift+G,in Generic Code Editor
Text Editing,Move Lines Up,Alt+Up,Editing Text
Run/Debug,Step Into,F5,Debugging
Navigate,Next,Ctrl+.,In Windows
Database Tools,Execute All,Ctrl+Alt+X,Editing SQL
Edit,Add Block Comment,Ctrl+Shift+/,Editing in Structured Text Editors
Navigate,Quick Outline,Ctrl+O,Editing Text
Run/Debug,Debug,F11,In Windows
Text Editing,Reset Structure,Ctrl+Shift+Numpad_Multiply,Editing Text
Edit,Paste,Shift+Insert,In Dialogs and Windows
Source,Quick Assist - Extract method,"Ctrl+2, M",Editing Java Source
Run/Debug,Debug Eclipse Application,"Alt+Shift+D, E",In Windows
File,Print,Ctrl+P,In Windows
Navigate,Forward History,Alt+Right,In Windows
Run/Debug,Java Breakpoint Properties,Alt+Enter,In Breakpoints View
Database Tools,Run,Ctrl+Alt+R,Editing SQL
Source,Toggle Comment,Ctrl+7,Editing Java Source
Database Tools,Edit in SQL Query Builder...,Alt+Q,Editing SQL
Text Editing,Toggle Overwrite,Insert,Editing Text
Edit,Cut,Ctrl+X,In Dialogs and Windows
Run/Debug,Coverage Last Launched,Ctrl+Shift+F11,In Windows
Run/Debug,Run Maven Build,"Alt+Shift+X, M",In Windows
Run/Debug,Run on Server,"Alt+Shift+X, R",In Windows
Navigate,Open Maven POM,Alt+Shift+P,In Windows
Text Editing,Show Tooltip Description,F2,Editing Text
Refactor - Java,Change Method Signature,Alt+Shift+C,In Windows
Text Editing,Collapse All,Ctrl+Shift+Numpad_Divide,Editing Text
JavaScript Debug,JavaScript Breakpoint Properties,Ctrl+Enter,In Breakpoints View
Run/Debug,Force Return,Alt+Shift+F,In Windows
Focused UI,Focus on Active Task,Alt+Shift+H,In Windows
Navigate,Open Resource,Ctrl+Shift+R,In Windows
Navigate,Open Manifest,Ctrl+Alt+Shift+M,In Windows
Edit,Select Enclosing Element,Alt+Shift+Up,Editing JavaScript Source
Run/Debug,Run to Line,Ctrl+R,Debugging
Run/Debug,Coverage Eclipse Application,"Alt+Shift+E, E",In Windows
Text Editing,Format,Ctrl+Shift+F,Editing Text
Web Page Editor Layout,Vertical Layout,Ctrl+Shift+F9,Using Web Page Editor
Navigate,Activate Task,Ctrl+F9,In Windows
Terminal view commands,Terminal view insert,Alt+W,Terminal Typing Connected
Window,Update Project,Alt+F5,In Windows
Run/Debug,Run JUnit Plug-in Test,"Alt+Shift+X, P",In Windows
Manifest Editor Source,Format Source,Ctrl+Shift+F,PDE editor
JavaScript Debug,Open Source,Ctrl+Shift+3,Debugging
Navigate,Open Structure,Ctrl+F3,Editing Java Source
Edit,Context Information,Alt+?,In Windows
Text Editing,Insert Line Below Current Line,Shift+Enter,Editing Text
Views,Show View (Javadoc),"Alt+Shift+Q, J",In Windows
File,Close,Ctrl+W,In Windows
Run/Debug,Coverage TestNG Suite,"Alt+Shift+E, G",In Windows
Views,Show View (Breakpoints),"Alt+Shift+Q, B",In Windows
Edit,Undo,Ctrl+Z,In Dialogs and Windows
Source,Quick Assist - Rename in file,"Ctrl+2, R",Editing JavaScript Source
Text Editing,Capitalize,Ctrl+Alt+C,Editing Text
Terminal view commands,Terminal view insert,Alt+S,Terminal Typing Connected
Text Editing,Delete Line,Ctrl+D,Editing Text
Edit,Incremental Find Reverse,Ctrl+Shift+J,Editing Text
Search,Spring Beans References Search,Ctrl+Shift+G,Editing in Structured Text Editors
Task Repositories,Quick Outline,Ctrl+O,In Tasks Editor
Navigate,Show In Breadcrumb,Alt+Shift+B,Editor Breadcrumb Navigation
Navigate,Next Sub-Tab,Alt+PageDown,In Dialogs and Windows
Run/Debug,Skip All Breakpoints,Ctrl+Alt+B,In Windows
Navigate,Go to Matching Bracket,Ctrl+],Editing Text
Server,Run,Ctrl+Alt+R,In Servers View
Run/Debug,Debug Java Applet,"Alt+Shift+D, A",In Windows
Navigate,Quick Outline,Ctrl+O,PDE editor
Navigate,Show In Breadcrumb,Alt+Shift+B,Editing Java Source
Text Editing,Collapse,Ctrl+Numpad_Subtract,Editing Text
Run/Debug,Use Step Filters,Shift+F5,In Windows
Edit,Quick Fix,Ctrl+1,In Dialogs and Windows
Text Editing,Insert Line Above Current Line,Ctrl+Shift+Enter,Editing Text
Edit,Cut,Shift+Delete,In Dialogs and Windows
Source,Organize Imports,Ctrl+Shift+O,In Windows
Run/Debug,Inspect,Ctrl+Shift+I,Chromium Debug
Refactor - Java,Rename - Refactoring ,Alt+Shift+R,In Windows
Views,Show View (Problems),"Alt+Shift+Q, X",In Windows
Spy,Plug-in Menu Spy,Alt+Shift+F2,In Dialogs and Windows
Text Formatting,Italic,Ctrl+Shift+I,Formatting Text
Edit,Add Im&port,Ctrl+Shift+M,Editing JSP Source
Source,Organize Imports,Ctrl+Shift+O,JavaScript View
Edit,Move,Alt+Shift+V,Editing JSP Source
Navigate,Open Type in Hierarchy,Ctrl+Shift+H,In Windows
Language Servers,Go to Symbol in Workspace,Ctrl+Shift+T,In Windows
Edit,Quick Diff Toggle,Ctrl+Shift+Q,Editing Text
Focused UI,Make Less Interesting,Ctrl+Alt+Shift+Down,In Windows
Run/Debug,Run Gradle Test,"Ctrl+Alt+X, G",In Windows
Task Repositories,Mark Task Read,Alt+Shift+R,In Tasks View
Text Editing,Zoom In,Ctrl+=,Editing Text
Navigate,Open External JSDoc,Shift+F2,JavaScript View
Task Editor,Submit Task,Alt+Shift+S,In Tasks Editor
Spket Source,Add Block Comment,Ctrl+Shift+/,Editing Text
Terminal view commands,Paste,Shift+Insert,Terminal Control in Focus
Navigate,Open Declaration,F3,Editing Text
Text Editing,Zoom In,Ctrl++,Editing Text
Edit,Previous Sibling,Ctrl+Shift+Up,Editing in Structured Text Editors
Run/Debug,Add Memory Block,Ctrl+Alt+M,In Memory View
Edit,Toggle Comment,Ctrl+Shift+C,Editing in Structured Text Editors
Edit,Delete,Delete,In Windows
SQL Results View,Remove Result,Ctrl+Delete,In Windows
Navigate,Open Declaration,F3,JavaScript View
Run/Debug,Trigger Restart,Ctrl+R,In I/O Console
File,New,Ctrl+N,In Windows
Terminal view commands,Terminal view insert,Alt+T,Terminal Typing Connected
Gradle (STS) Tools,Open Gradle (STS) Tasks Quick Launcher,Ctrl+Alt+Shift+R,In Windows
Text Editing,Scroll Line Up,Ctrl+Up,Editing Text
Search,Open Search Dialog,Ctrl+H,In Windows
Edit,Select Next Element,Alt+Shift+Right,Editing in Structured Text Editors
Text Formatting,Bold,Ctrl+Shift+B,Formatting Text
Navigate,Quick Outline,Ctrl+Shift+O,Task Markup Editor Source Context
Text Editing,Line End,End,Editing Text
Text Editing,Copy Lines,Ctrl+Alt+Down,Editing Text
Source,Format,Ctrl+Shift+F,Editing JavaScript Source
Terminal view commands,Paste,Ctrl+Shift+V,Terminal Control in Focus
Terminal view commands,Terminal view insert,Alt+L,Terminal Typing Connected
Refactor - JavaScript,Show Refactor Quick Menu,Alt+Shift+T,JavaScript View
Uncategorized,Add Artifact to Target Platform,Ctrl+Alt+Shift+A,In Windows
Navigate,Go To Next Unread Task,Alt+Down,In Tasks View
Text Editing,Text End,Ctrl+End,Editing Text
Window,Toggle Split Editor (Horizontal),Ctrl+_,In Windows
Source,Add Import,Ctrl+Shift+M,Editing JavaScript Source
Run/Debug,Debug XSLT Transformation,"Alt+Shift+D, X",In Windows
Task Repositories,Mark Task Read and Go To Next Unread Task,Alt+Shift+Down,In Tasks View
Spket Source,Toggle Mark Occurrences,Alt+Shift+O,Editing Text
Terminal view commands,Terminal view insert,Alt+A,Terminal Typing Connected
Views,Refresh View (Gradle Tasks),F5,In Gradle Tasks View
Language Servers,Format,Ctrl+Shift+F,Editing Text
Navigate,Previous Page,Ctrl+Shift+F5,Using Web Page Editor
Run/Debug,Debug Java Application,"Alt+Shift+D, J",In Windows
Window,Select Maven Profiles,Ctrl+Alt+P,In Windows
Text Editing,Toggle Folding,Ctrl+Numpad_Divide,Editing Text
Views,Show View,"Alt+Shift+Q, Q",In Windows
Git,Copy Path to Clipboard,Ctrl+C,In Git Repositories View
EMF Code Generation,Generate Code,Alt+Shift+G,In Windows
Run/Debug,Execute,Ctrl+U,In Windows
Terminal view commands,Terminal view insert,Alt+N,Terminal Typing Connected
Text Editing,Duplicate Lines,Ctrl+Alt+Up,Editing Text
Source,Open Declaration,F3,Editing Ant Buildfiles
Source,Correct Indentation,Ctrl+I,Editing Java Source
Run/Debug,Debug AspectJ/Java Application,"Alt+Shift+D, C",In Windows
Navigate,Next Page,Ctrl+F5,In Faces Config Editor
File,Refresh,F5,In Windows
Edit,Find Previous,Ctrl+Shift+K,Editing Text
Navigate,Backward History,Alt+Left,In Windows
Refactor - JavaScript,Move - Refactoring ,Alt+Shift+V,JavaScript View
Task Repositories,Mark Task Incomplete,Alt+Shift+I,In Tasks Editor
Task Repositories,New Subtask,Shift+Insert,In Tasks View
YEdit,Toggle Comment,Ctrl+/,YEdit editor context
Source,Indent Line,Ctrl+I,Editing JavaScript Source
Views,Show View (History),"Alt+Shift+Q, Z",In Windows
Task Repositories,Mark Task Unread,Alt+Shift+U,In Tasks Editor
Terminal view commands,Terminal view insert,Alt+D,Terminal Typing Connected
Window,Show Key Assist,Ctrl+Shift+L,In Dialogs and Windows
Spy,Layout Spy,Ctrl+Alt+Shift+F9,In Dialogs and Windows
Navigate,Select Matching Bracket,Ctrl+Shift+],Editing Text
Run/Debug,Debug Ant Build,"Alt+Shift+D, Q",In Windows
Gradle (STS) Tools,Refresh All,Ctrl+F5,In Windows
Search,Show Occurrences in File Quick Menu,Ctrl+Shift+U,In Windows
Run/Debug,Resume,F8,Debugging
Window,Toggle Split Editor (Vertical),Ctrl+{,In Windows
ASA 9.x table schema editor,Copy,Alt+C,In Windows
Text Editing,Move Lines Down,Alt+Down,Editing Text
Views,Show View (Outline),"Alt+Shift+Q, O",In Windows
Edit,Matching Tag,Ctrl+Shift+>,Editing in Structured Text Editors
Terminal view commands,Terminal view insert,Alt+R,Terminal Typing Connected
Project,Build All,Ctrl+B,In Windows
Run/Debug,Step Return,F7,Debugging
Navigate,Next Page,Ctrl+F5,Using Web Page Editor
Task Repositories,Mark Task Read and Go To Previous Unread Task,Alt+Shift+Up,In Tasks View
YEdit,Format,Ctrl+Shift+F,YEdit editor context
Edit,Rename,Alt+Shift+R,Editing JSP Source
Refactor - Java,Show Refactor Quick Menu,Alt+Shift+T,In Windows
Text Editing,Delete Next Word,Ctrl+Delete,Editing Text
Navigate,Open Roo Command Prompt,Ctrl+R,In Windows
Terminal view commands,Terminal view insert,Alt+H,Terminal Typing Connected
Source,Add Import,Ctrl+Shift+M,Editing Java Source
Edit,Find and Replace,Ctrl+F,In Windows
Edit,Occurrences in File,Ctrl+Shift+A,Editing in Structured Text Editors
Run/Debug,Terminate,Ctrl+F2,Debugging
Source,Remove Occurrence Annotations,Alt+Shift+U,Editing JavaScript Source
Navigate,Open from Clipboard,Ctrl+Shift+V,In Windows
Navigate,Search Repository for Task,Ctrl+Shift+F12,In Windows
Database Tools,Goto Matching Token,Ctrl+Shift+P,Editing SQL
Terminal view commands,Terminal view insert,Alt+P,Terminal Typing Connected
Navigate,Go to Next Member,Ctrl+Shift+Down,Editing JavaScript Source
Window,Show System Menu,Alt+-,In Windows
Edit,Add Maven Dependency,Ctrl+Shift+D,Editing XML Source
Focused UI,Make Landmark,Ctrl+Alt+Shift+Up,In Windows
Search,Find Text in Workspace,Ctrl+Alt+G,In Windows
Task Repositories,Mark Task Complete,Alt+Shift+C,In Tasks Editor
File,Close All,Ctrl+Shift+W,In Windows
Source,Toggle Comment,Ctrl+/,Editing Properties Files
Navigate,Last Edit Location,Ctrl+Q,In Windows
Run/Debug,Display,Ctrl+Shift+D,In Dialogs and Windows
Text Editing,Next Word,Ctrl+Right,Editing Text
Edit,Find Next,Ctrl+K,Editing Text
Source,Add Javadoc Comment,Alt+Shift+J,In Windows
Search,References in Workspace,Ctrl+Shift+G,JavaScript View
Edit,Add Maven Plugin,Ctrl+Shift+P,Editing XML Source
Views,Documentation,"Alt+Shift+Q, J",JavaScript View
Edit,Toggle Block Selection,Alt+Shift+A,Editing Text
Run/Debug,Coverage RAP JUnit Test,"Alt+Shift+E, R",In Windows
Run/Debug,Coverage SWTBot Test,"Alt+Shift+E, S",In Windows
Database Tools,Execute Current Text,Alt+S,Editing SQL
Navigate,Open Task,Ctrl+F12,In Windows
Views,Show View (),"Alt+Shift+Q, D",In Windows
Edit,Redo,Ctrl+Y,In Dialogs and Windows
Terminal view commands,Maximize Active View or Editor,Alt+Up,Terminal Control in Focus
Terminal view commands,Terminal view insert,Alt+F,Terminal Typing Connected
Views,Show View (Task List),"Alt+Shift+Q, K",In Windows
Text Editing,Select Next Word,Ctrl+Shift+Right,Editing Text
Spket Source,Remove Block Comment,Ctrl+Shift+\,Editing Text
Views,JavaScript Script Explorer,"Alt+Shift+Q, P",JavaScript View
