Category,Command,Binding,When
Edit,Find Previous,Ctrl+Shift+K,Editing Text
Text Editing,Format,Ctrl+Shift+F,Editing Text
Language Servers,Format,Ctrl+Shift+F,Editing Text
Navigate,Go to Line,Ctrl+L,Editing Text
Navigate,Go to Matching Bracket,Ctrl+],Editing Text
Language Servers,Go to Symbol in File,Ctrl+O,Editing Text
Edit,Incremental Find,Ctrl+J,Editing Text
Edit,Incremental Find Reverse,Ctrl+Shift+J,Editing Text
Text Editing,Insert Line Above Current Line,Ctrl+Shift+Enter,Editing Text
Text Editing,Insert Line Below Current Line,Shift+Enter,Editing Text
Text Editing,Invert Case,Ctrl+Alt+I,Editing Text
Text Editing,Join Lines,Ctrl+Alt+J,Editing Text
Text Editing,Line End,End,Editing Text
Text Editing,Line Start,Home,Editing Text
Text Editing,Move Lines Down,Alt+Down,Editing Text
Text Editing,Move Lines Up,Alt+Up,Editing Text
Text Editing,Next Word,Ctrl+Right,Editing Text
Navigate,Open Declaration,F3,Editing Text
Text Editing,Previous Word,Ctrl+Left,Editing Text
Spket Source,Quick Assist - Rename in file,"Ctrl+2, R",Editing Text
Edit,Quick Diff Toggle,Ctrl+Shift+Q,Editing Text
Navigate,Quick Outline,Ctrl+O,Editing Text
Navigate,Quick Type Hierarchy,Ctrl+T,Editing Text
Spket Source,Remove Block Comment,Ctrl+Shift+\,Editing Text
Text Editing,Reset Structure,Ctrl+Shift+Numpad_Multiply,Editing Text
Text Editing,Scroll Line Down,Ctrl+Down,Editing Text
Text Editing,Scroll Line Up,Ctrl+Up,Editing Text
Text Editing,Select Line End,Shift+End,Editing Text
Text Editing,Select Line Start,Shift+Home,Editing Text
Navigate,Select Matching Bracket,Ctrl+Shift+],Editing Text
Text Editing,Select Next Word,Ctrl+Shift+Right,Editing Text
Text Editing,Select Previous Word,Ctrl+Shift+Left,Editing Text
Window,Show Ruler Context Menu,Ctrl+F10,Editing Text
Edit,Show Tooltip,F2,Editing Text
Text Editing,Show Tooltip Description,F2,Editing Text
Text Editing,Tabs to Spaces,Ctrl+Alt+Space,Editing Text
Text Editing,Text End,Ctrl+End,Editing Text
Text Editing,Text Start,Ctrl+Home,Editing Text
Text Editing,To Lower Case,Ctrl+Shift+Y,Editing Text
Text Editing,To Upper Case,Ctrl+Shift+X,Editing Text
Edit,Toggle Block Selection,Alt+Shift+A,Editing Text
Spket Source,Toggle Comment,Ctrl+/,Editing Text
Text Editing,Toggle Folding,Ctrl+Numpad_Divide,Editing Text
Edit,Toggle Insert Mode,Ctrl+Shift+Insert,Editing Text
Spket Source,Toggle Mark Occurrences,Alt+Shift+O,Editing Text
Text Editing,Toggle Overwrite,Insert,Editing Text
Edit,Toggle Word Wrap,Alt+Shift+Y,Editing Text
Edit,Word Completion,Ctrl+Alt+/,Editing Text
Text Editing,Zoom In,Ctrl+=,Editing Text
Text Editing,Zoom In,Ctrl++,Editing Text
Text Editing,Zoom Out,Ctrl+-,Editing Text
Edit,Add Maven Dependency,Ctrl+Shift+D,Editing XML Source
Edit,Add Maven Plugin,Ctrl+Shift+P,Editing XML Source
Navigate,Show In Breadcrumb,Alt+Shift+B,Editor Breadcrumb Navigation
Text Formatting,Bold,Ctrl+Shift+B,Formatting Text
Text Formatting,Italic,Ctrl+Shift+I,Formatting Text
Text Formatting,Underline,Ctrl+Shift+U,Formatting Text
Run/Debug,Java Breakpoint Properties,Alt+Enter,In Breakpoints View
JavaScript Debug,JavaScript Breakpoint Properties,Ctrl+Enter,In Breakpoints View
Edit,Content Assist,Alt+/,In Dialogs and Windows
Edit,Copy,Ctrl+Insert,In Dialogs and Windows
Edit,Copy,Ctrl+C,In Dialogs and Windows
Edit,Cut,Ctrl+X,In Dialogs and Windows
Edit,Cut,Shift+Delete,In Dialogs and Windows
Run/Debug,Display,Ctrl+Shift+D,In Dialogs and Windows
Run/Debug,Inspect,Ctrl+Shift+I,In Dialogs and Windows
Edit,JavaScript Content Assist,Alt+Shift+/,In Dialogs and Windows
Spy,Layout Spy,Ctrl+Alt+Shift+F9,In Dialogs and Windows
Navigate,Next Sub-Tab,Alt+PageDown,In Dialogs and Windows
Edit,Paste,Ctrl+V,In Dialogs and Windows
Edit,Paste,Shift+Insert,In Dialogs and Windows
Spy,Plug-in Menu Spy,Alt+Shift+F2,In Dialogs and Windows
Spy,Plug-in Selection Spy,Alt+Shift+F1,In Dialogs and Windows
Navigate,Previous Sub-Tab,Alt+PageUp,In Dialogs and Windows
Edit,Quick Fix,Ctrl+1,In Dialogs and Windows
Edit,Redo,Ctrl+Y,In Dialogs and Windows
Edit,Select All,Ctrl+A,In Dialogs and Windows
Window,Show Contributing Plug-in,Alt+Shift+F3,In Dialogs and Windows
Window,Show Key Assist,Ctrl+Shift+L,In Dialogs and Windows
Window,Show View Menu,Ctrl+F10,In Dialogs and Windows
Window,Toggle Full Screen,Alt+F11,In Dialogs and Windows
Edit,Undo,Ctrl+Z,In Dialogs and Windows
Navigate,Next Page,Ctrl+F5,In Faces Config Editor
Navigate,Previous Page,Ctrl+Shift+F5,In Faces Config Editor
Uncategorized,Find References,Ctrl+Shift+G,in Generic Code Editor
Text Editing,Open Hyperlink,F3,in Generic Code Editor
Uncategorized,Copy SHA-1,Ctrl+C,In Git Reflog View
Git,Copy Path to Clipboard,Ctrl+C,In Git Repositories View
Git,Paste Repository Path or URI,Ctrl+V,In Git Repositories View
Views,Refresh View (Gradle Tasks),F5,In Gradle Tasks View
Run/Debug,EOF,Ctrl+Z,In I/O Console
Run/Debug,Trigger Restart,Ctrl+R,In I/O Console
Run/Debug,Add Memory Block,Ctrl+Alt+M,In Memory View
Run/Debug,Close Rendering,Ctrl+W,In Memory View
Run/Debug,New Rendering,Ctrl+N,In Memory View
Run/Debug,Next Memory Monitor,Ctrl+Alt+N,In Memory View
Run/Debug,Toggle Memory Monitors Pane,Ctrl+T,In Memory View
Server,Debug,Ctrl+Alt+D,In Servers View
Server,Publish,Ctrl+Alt+P,In Servers View
Server,Run,Ctrl+Alt+R,In Servers View
Server,Stop,Ctrl+Alt+S,In Servers View
Run/Debug,Go to Address,Ctrl+G,In Table Memory Rendering
Run/Debug,Next Page of Memory,Ctrl+Shift+.,In Table Memory Rendering
Run/Debug,Previous Page of Memory,"Ctrl+Shift+,",In Table Memory Rendering
Task Repositories,Mark Task Complete,Alt+Shift+C,In Tasks Editor
Task Repositories,Mark Task Incomplete,Alt+Shift+I,In Tasks Editor
Task Repositories,Mark Task Read,Alt+Shift+R,In Tasks Editor
Task Repositories,Mark Task Unread,Alt+Shift+U,In Tasks Editor
Task Editor,Maximize Part,Ctrl+Shift+M,In Tasks Editor
Task Repositories,Quick Outline,Ctrl+O,In Tasks Editor
Task Editor,Submit Task,Alt+Shift+S,In Tasks Editor
Navigate,Go To Next Unread Task,Alt+Down,In Tasks View
Navigate,Go To Previous Unread Task,Alt+Up,In Tasks View
Task Repositories,Mark Task Complete,Alt+Shift+C,In Tasks View
Task Repositories,Mark Task Incomplete,Alt+Shift+I,In Tasks View
Task Repositories,Mark Task Read,Alt+Shift+R,In Tasks View
Task Repositories,Mark Task Read and Go To Next Unread Task,Alt+Shift+Down,In Tasks View
Task Repositories,Mark Task Read and Go To Previous Unread Task,Alt+Shift+Up,In Tasks View
Task Repositories,Mark Task Unread,Alt+Shift+U,In Tasks View
Task Repositories,New Local Task,Insert,In Tasks View
Task Repositories,New Subtask,Shift+Insert,In Tasks View
Task Repositories,Open Selected Task,Ctrl+Enter,In Tasks View
Task Repositories,Show Tooltip Description,F4,In Tasks View
Window,Activate Editor,F12,In Windows
Navigate,Activate Task,Ctrl+F9,In Windows
Uncategorized,Add Artifact to Target Platform,Ctrl+Alt+Shift+A,In Windows
Source,Add Javadoc Comment,Alt+Shift+J,In Windows
Run/Debug,All Instances,Ctrl+Shift+N,In Windows
Navigate,Backward History,Alt+Left,In Windows
Project,Build All,Ctrl+B,In Windows
Refactor - Java,Change Method Signature,Alt+Shift+C,In Windows
File,Close,Ctrl+F4,In Windows
File,Close,Ctrl+W,In Windows
File,Close All,Ctrl+Shift+F4,In Windows
File,Close All,Ctrl+Shift+W,In Windows
Navigate,Collapse All,Ctrl+Shift+Numpad_Divide,In Windows
Git,Commit...,Ctrl+#,In Windows
Edit,Context Information,Alt+Shift+?,In Windows
Edit,Context Information,Alt+?,In Windows
ASA 9.x table schema editor,Copy,Alt+C,In Windows
Run/Debug,Coverage Eclipse Application,"Alt+Shift+E, E",In Windows
Run/Debug,Coverage Java Application,"Alt+Shift+E, J",In Windows
Run/Debug,Coverage JUnit Plug-in Test,"Alt+Shift+E, P",In Windows
Run/Debug,Coverage JUnit Test,"Alt+Shift+E, T",In Windows
Run/Debug,Coverage Last Launched,Ctrl+Shift+F11,In Windows
Run/Debug,Coverage RAP JUnit Test,"Alt+Shift+E, R",In Windows
Run/Debug,Coverage Scala Application,"Alt+Shift+E, L",In Windows
Run/Debug,Coverage SWTBot Test,"Alt+Shift+E, S",In Windows
Run/Debug,Coverage TestNG Suite,"Alt+Shift+E, G",In Windows
Run/Debug,Coverage TestNG Test,"Alt+Shift+E, N",In Windows
ASA 9.x table schema editor,Cut,Alt+X,In Windows
Navigate,Deactivate Task,Ctrl+Shift+F9,In Windows
Run/Debug,Debug,F11,In Windows
Run/Debug,Debug Ant Build,"Alt+Shift+D, Q",In Windows
Run/Debug,Debug AspectJ/Java Application,"Alt+Shift+D, C",In Windows
Run/Debug,Debug Eclipse Application,"Alt+Shift+D, E",In Windows
Run/Debug,Debug Java Applet,"Alt+Shift+D, A",In Windows
Run/Debug,Debug Java Application,"Alt+Shift+D, J",In Windows
Run/Debug,Debug JUnit Plug-in Test,"Alt+Shift+D, P",In Windows
Run/Debug,Debug JUnit Test,"Alt+Shift+D, T",In Windows
Run/Debug,Debug on Server,"Alt+Shift+D, R",In Windows
Run/Debug,Debug OSGi Framework,"Alt+Shift+D, O",In Windows
Run/Debug,Debug Spring Boot App,"Alt+Shift+D, B",In Windows
Run/Debug,Debug XSLT Transformation,"Alt+Shift+D, X",In Windows
Search,Declaration in Workspace,Ctrl+G,In Windows
Edit,Delete,Delete,In Windows
Run/Debug,Execute,Ctrl+U,In Windows
Navigate,Expand All,Ctrl+Shift+Numpad_Multiply,In Windows
Refactor - Java,Extract Local Variable,Alt+Shift+L,In Windows
Refactor - Java,Extract Method,Alt+Shift+M,In Windows
Edit,Find and Replace,Ctrl+F,In Windows
Search,Find Text in Workspace,Ctrl+Alt+G,In Windows
Focused UI,Focus on Active Task,Alt+Shift+H,In Windows
Run/Debug,Force Return,Alt+Shift+F,In Windows
Navigate,Forward History,Alt+Right,In Windows
EMF Code Generation,Generate Code,Alt+Shift+G,In Windows
Language Servers,Go to Symbol in Workspace,Ctrl+Shift+T,In Windows
Refactor - Java,Inline,Alt+Shift+I,In Windows
Navigate,Last Edit Location,Ctrl+Q,In Windows
Focused UI,Make Landmark,Ctrl+Alt+Shift+Up,In Windows
Focused UI,Make Less Interesting,Ctrl+Alt+Shift+Down,In Windows
Window,Maximize Active View or Editor,Ctrl+M,In Windows
Refactor - Java,Move - Refactoring ,Alt+Shift+V,In Windows
File,New,Ctrl+N,In Windows
File,New menu,Alt+Shift+N,In Windows
Navigate,Next,Ctrl+.,In Windows
Window,Next Editor,Ctrl+F6,In Windows
Navigate,Next Page,Alt+F7,In Windows
Window,Next Perspective,Ctrl+F8,In Windows
Window,Next View,Ctrl+F7,In Windows
Navigate,Open Attached Javadoc,Shift+F2,In Windows
Navigate,Open Call Hierarchy,Ctrl+Alt+H,In Windows
Navigate,Open Declaration,F3,In Windows
Navigate,Open from Clipboard,Ctrl+Shift+V,In Windows
Gradle (STS) Tools,Open Gradle (STS) Tasks Quick Launcher,Ctrl+Alt+Shift+R,In Windows
Terminal Commands,Open Local Terminal on Selection,Ctrl+Alt+Shift+T,In Windows
Terminal Commands,Open Local Terminal on Selection,Ctrl+Alt+T,In Windows
Navigate,Open Manifest,Ctrl+Alt+Shift+M,In Windows
Navigate,Open Maven POM,Alt+Shift+P,In Windows
Navigate,Open Plug-in Artifact,Ctrl+Shift+A,In Windows
Navigate,Open Remote Task,Ctrl+Alt+Shift+F12,In Windows
Navigate,Open Resource,Ctrl+Shift+R,In Windows
Navigate,Open Roo Command Prompt,Ctrl+R,In Windows
Search,Open Search Dialog,Ctrl+H,In Windows
Navigate,Open Spring Bean,Alt+Shift+B,In Windows
Navigate,Open Task,Ctrl+F12,In Windows
Navigate,Open Type,Ctrl+Shift+T,In Windows
Navigate,Open Type Hierarchy,F4,In Windows
Navigate,Open Type in Hierarchy,Ctrl+Shift+H,In Windows
Source,Organize Imports,Ctrl+Shift+O,In Windows
ASA 9.x table schema editor,Paste,Alt+V,In Windows
Navigate,Previous,"Ctrl+,",In Windows
Window,Previous Editor,Ctrl+Shift+F6,In Windows
Navigate,Previous Page,Alt+Shift+F7,In Windows
Window,Previous Perspective,Ctrl+Shift+F8,In Windows
Window,Previous View,Ctrl+Shift+F7,In Windows
File,Print,Ctrl+P,In Windows
File,Properties,Alt+Enter,In Windows
Window,Quick Access,Ctrl+3,In Windows
Window,Quick Switch Editor,Ctrl+E,In Windows
Search,References in Workspace,Ctrl+Shift+G,In Windows
File,Refresh,F5,In Windows
Gradle (STS) Tools,Refresh All,Ctrl+F5,In Windows
Project,Refresh Tasks,Ctrl+F5,In Windows
Project,Reload JavaScript Profile,Ctrl+Shift+F5,In Windows
SQL Results View,Remove All Visible Results,Shift+Delete,In Windows
SQL Results View,Remove Result,Ctrl+Delete,In Windows
File,Rename,F2,In Windows
Refactor - Java,Rename - Refactoring ,Alt+Shift+R,In Windows
Run/Debug,Run,Ctrl+F11,In Windows
Run/Debug,Run Ant Build,"Alt+Shift+X, Q",In Windows
Run/Debug,Run AspectJ/Java Application,"Alt+Shift+X, C",In Windows
Run/Debug,Run Eclipse Application,"Alt+Shift+X, E",In Windows
Run/Debug,Run Gradle Test,"Ctrl+Alt+X, G",In Windows
Run/Debug,Run Java Applet,"Alt+Shift+X, A",In Windows
Run/Debug,Run Java Application,"Alt+Shift+X, J",In Windows
Run/Debug,Run JUnit Plug-in Test,"Alt+Shift+X, P",In Windows
Run/Debug,Run JUnit Test,"Alt+Shift+X, T",In Windows
Run/Debug,Run Maven Build,"Alt+Shift+X, M",In Windows
Run/Debug,Run on Server,"Alt+Shift+X, R",In Windows
Run/Debug,Run OSGi Framework,"Alt+Shift+X, O",In Windows
Run/Debug,Run Spring Boot App,"Alt+Shift+X, B",In Windows
Run/Debug,Run XSLT Transformation,"Alt+Shift+X, X",In Windows
File,Save,Ctrl+S,In Windows
File,Save All,Ctrl+Shift+S,In Windows
Navigate,Search Repository for Task,Ctrl+Shift+F12,In Windows
Window,Select Maven Profiles,Ctrl+Alt+P,In Windows
Focused UI,Show Context Quick View,Ctrl+Alt+Shift+Right,In Windows
Navigate,Show In...,Alt+Shift+W,In Windows
Search,Show Occurrences in File Quick Menu,Ctrl+Shift+U,In Windows
Refactor - Java,Show Refactor Quick Menu,Alt+Shift+T,In Windows
Source,Show Source Quick Menu,Alt+Shift+S,In Windows
Window,Show System Menu,Alt+-,In Windows
Views,Show View,"Alt+Shift+Q, Q",In Windows
Views,Show View (),"Alt+Shift+Q, D",In Windows
Views,Show View (Breakpoints),"Alt+Shift+Q, B",In Windows
Views,Show View (Cheat Sheets),"Alt+Shift+Q, H",In Windows
Views,Show View (Console),"Alt+Shift+Q, C",In Windows
Views,Show View (Error Log),"Alt+Shift+Q, L",In Windows
Views,Show View (History),"Alt+Shift+Q, Z",In Windows
Views,Show View (Javadoc),"Alt+Shift+Q, J",In Windows
Views,Show View (Outline),"Alt+Shift+Q, O",In Windows
Views,Show View (Package Explorer),"Alt+Shift+Q, P",In Windows
Views,Show View (Problems),"Alt+Shift+Q, X",In Windows
Views,Show View (Search),"Alt+Shift+Q, S",In Windows
Views,Show View (Synchronize),"Alt+Shift+Q, Y",In Windows
Views,Show View (Task List),"Alt+Shift+Q, K",In Windows
Views,Show View (Type Hierarchy),"Alt+Shift+Q, T",In Windows
Views,Show View (Variables),"Alt+Shift+Q, V",In Windows
Run/Debug,Skip All Breakpoints,Ctrl+Alt+B,In Windows
Source,Surround With Quick Menu,Alt+Shift+Z,In Windows
Window,Switch to Editor,Ctrl+Shift+E,In Windows
SQL Results View,Terminate Result,Ctrl+Break,In Windows
Run/Debug,Toggle Breakpoint,Ctrl+Shift+B,In Windows
Window,Toggle Split Editor (Horizontal),Ctrl+_,In Windows
Window,Toggle Split Editor (Vertical),Ctrl+{,In Windows
Window,Update Project,Alt+F5,In Windows
Run/Debug,Use Step Filters,Shift+F5,In Windows
View,Zoom In,Ctrl+=,In Windows
View,Zoom Out,Ctrl+-,In Windows
Source,Add JSDoc Comment,Alt+Shift+J,JavaScript View
Refactor - JavaScript,Change Function Signature,Alt+Shift+C,JavaScript View
Search,Declaration in Workspace,Ctrl+G,JavaScript View
Views,Documentation,"Alt+Shift+Q, J",JavaScript View
Refactor - JavaScript,Extract Function,Alt+Shift+M,JavaScript View
Refactor - JavaScript,Extract Local Variable,Alt+Shift+L,JavaScript View
Refactor - JavaScript,Inline,Alt+Shift+I,JavaScript View
Views,JavaScript Declaration,"Alt+Shift+Q, D",JavaScript View
Views,JavaScript Script Explorer,"Alt+Shift+Q, P",JavaScript View
Views,JavaScript Type Hierarchy,"Alt+Shift+Q, T",JavaScript View
Refactor - JavaScript,Move - Refactoring ,Alt+Shift+V,JavaScript View
Navigate,Open Call Hierarchy,Ctrl+Alt+H,JavaScript View
Navigate,Open Declaration,F3,JavaScript View
Navigate,Open External JSDoc,Shift+F2,JavaScript View
Navigate,Open Type Hierarchy,F4,JavaScript View
Navigate,Open Type in Hierarchy,Ctrl+Shift+H,JavaScript View
Source,Organize Imports,Ctrl+Shift+O,JavaScript View
Search,References in Workspace,Ctrl+Shift+G,JavaScript View
Refactor - JavaScript,Rename - Refactoring ,Alt+Shift+R,JavaScript View
Search,Show Occurrences in File Quick Menu,Ctrl+Shift+U,JavaScript View
Refactor - JavaScript,Show Refactor Quick Menu,Alt+Shift+T,JavaScript View
Source,Show Source Quick Menu,Alt+Shift+S,JavaScript View
Source,Surround With Quick Menu,Alt+Shift+Z,JavaScript View
Manifest Editor Source,Format Source,Ctrl+Shift+F,PDE editor
Navigate,Quick Outline,Ctrl+O,PDE editor
Navigate,Quick Outline,Ctrl+Shift+O,Task Markup Editor Source Context
Terminal view commands,Copy,Ctrl+Insert,Terminal Control in Focus
Terminal view commands,Copy,Ctrl+Shift+C,Terminal Control in Focus
Terminal view commands,Maximize Active View or Editor,Alt+Up,Terminal Control in Focus
Terminal view commands,Paste,Shift+Insert,Terminal Control in Focus
Terminal view commands,Paste,Ctrl+Shift+V,Terminal Control in Focus
Terminal view commands,Quick Access,Alt+Right,Terminal Control in Focus
Terminal view commands,Terminal view insert,Alt+G,Terminal Typing Connected
Terminal view commands,Terminal view insert,Alt+V,Terminal Typing Connected
Terminal view commands,Terminal view insert,Alt+C,Terminal Typing Connected
Terminal view commands,Terminal view insert,Alt+B,Terminal Typing Connected
Terminal view commands,Terminal view insert,Alt+Y,Terminal Typing Connected
Terminal view commands,Terminal view insert,Alt+E,Terminal Typing Connected
Terminal view commands,Terminal view insert,Alt+W,Terminal Typing Connected
Terminal view commands,Terminal view insert,Alt+S,Terminal Typing Connected
Terminal view commands,Terminal view insert,Alt+T,Terminal Typing Connected
Terminal view commands,Terminal view insert,Alt+L,Terminal Typing Connected
Terminal view commands,Terminal view insert,Alt+A,Terminal Typing Connected
Terminal view commands,Terminal view insert,Alt+N,Terminal Typing Connected
Terminal view commands,Terminal view insert,Alt+D,Terminal Typing Connected
Terminal view commands,Terminal view insert,Alt+R,Terminal Typing Connected
Terminal view commands,Terminal view insert,Alt+H,Terminal Typing Connected
Terminal view commands,Terminal view insert,Alt+P,Terminal Typing Connected
Terminal view commands,Terminal view insert,Alt+F,Terminal Typing Connected
Web Page Editor Layout,Graphical Designer,Ctrl+Shift+F11,Using Web Page Editor
Web Page Editor Layout,Horizontal Layout,Ctrl+Shift+F10,Using Web Page Editor
Navigate,Next Page,Ctrl+F5,Using Web Page Editor
Navigate,Previous Page,Ctrl+Shift+F5,Using Web Page Editor
Web Page Editor Layout,Source Code,Ctrl+Shift+F12,Using Web Page Editor
Web Page Editor Layout,Vertical Layout,Ctrl+Shift+F9,Using Web Page Editor
Navigate,Quick Outline,Ctrl+O,WikiText Markup Source Context
Uncategorized,Show Markup Cheat Sheet,F1,WikiText Markup Source Context
